,age,education_num,marital_status,race,sex,capital_gain,capital_loss,hours_per_work,label,occupation_blueCollar,occupation_other,occupation_professional,occupation_sales,occupation_whiteCollar
0,39,13,0,1,1,2174,0,40,<=50K,0,1,0,0,0
1,50,13,1,1,1,0,0,13,<=50K,0,0,0,0,1
2,38,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
3,53,7,1,0,1,0,0,40,<=50K,1,0,0,0,0
4,28,13,1,0,0,0,0,40,<=50K,0,0,1,0,0
5,37,14,1,1,0,0,0,40,<=50K,0,0,0,0,1
6,49,5,1,0,0,0,0,16,<=50K,0,1,0,0,0
7,52,9,1,1,1,0,0,45,>50K,0,0,0,0,1
8,31,14,0,1,0,14084,0,50,>50K,0,0,1,0,0
9,42,13,1,1,1,5178,0,40,>50K,0,0,0,0,1
10,37,10,1,0,1,0,0,80,>50K,0,0,0,0,1
11,30,13,1,0,1,0,0,40,>50K,0,0,1,0,0
12,23,13,0,1,0,0,0,30,<=50K,0,1,0,0,0
13,32,12,0,0,1,0,0,50,<=50K,0,0,0,1,0
15,34,4,1,0,1,0,0,45,<=50K,1,0,0,0,0
16,25,9,0,1,1,0,0,35,<=50K,1,0,0,0,0
17,32,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
18,38,7,1,1,1,0,0,50,<=50K,0,0,0,1,0
19,43,14,1,1,0,0,0,45,>50K,0,0,0,0,1
20,40,16,1,1,1,0,0,60,>50K,0,0,1,0,0
21,54,9,1,0,0,0,0,20,<=50K,0,1,0,0,0
22,35,5,1,0,1,0,0,40,<=50K,1,0,0,0,0
23,43,7,1,1,1,0,2042,40,<=50K,1,0,0,0,0
24,59,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
25,56,13,1,1,1,0,0,40,>50K,0,1,0,0,0
26,19,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
28,39,9,1,1,1,0,0,80,<=50K,0,0,0,0,1
29,49,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
30,23,12,0,1,1,0,0,52,<=50K,0,1,0,0,0
31,20,10,0,0,1,0,0,44,<=50K,0,0,0,1,0
32,45,13,1,1,1,0,1408,40,<=50K,0,0,0,0,1
33,30,10,1,1,1,0,0,40,<=50K,0,1,0,0,0
34,22,10,1,0,1,0,0,15,<=50K,0,1,0,0,0
35,48,7,0,1,1,0,0,40,<=50K,1,0,0,0,0
36,21,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
37,19,9,1,1,0,0,0,25,<=50K,0,1,0,0,0
39,48,12,1,1,1,0,0,40,<=50K,0,0,1,0,0
40,31,5,1,1,1,0,0,43,<=50K,1,0,0,0,0
41,53,13,1,1,1,0,0,40,<=50K,0,0,1,0,0
42,24,13,1,1,1,0,0,50,<=50K,0,1,0,0,0
43,49,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
44,25,9,0,1,1,0,0,35,<=50K,1,0,0,0,0
45,57,13,1,0,1,0,0,40,>50K,0,0,1,0,0
46,53,9,1,1,1,0,0,38,<=50K,1,0,0,0,0
47,44,14,1,1,0,0,0,40,<=50K,0,0,0,0,1
48,41,11,1,1,1,0,0,40,<=50K,1,0,0,0,0
49,29,11,0,1,1,0,0,43,<=50K,0,0,1,0,0
50,25,10,1,0,0,0,0,40,<=50K,0,0,0,0,1
52,47,15,1,1,0,0,1902,60,>50K,0,0,1,0,0
53,50,13,1,1,1,0,0,55,>50K,0,0,0,0,1
54,47,9,1,1,1,0,0,60,<=50K,0,0,0,0,1
55,43,10,1,1,1,0,0,40,>50K,0,1,0,0,0
56,46,3,1,1,1,0,0,40,<=50K,1,0,0,0,0
57,35,11,1,1,1,0,0,40,<=50K,0,1,0,0,0
58,41,9,1,1,1,0,0,48,<=50K,0,1,0,0,0
59,30,9,1,1,1,5013,0,40,<=50K,1,0,0,0,0
60,30,13,1,1,1,2407,0,40,<=50K,0,0,0,1,0
62,48,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
63,42,16,1,1,1,0,0,45,>50K,0,0,1,0,0
64,29,10,1,1,1,0,0,58,<=50K,0,1,0,0,0
65,36,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
66,28,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
67,53,9,1,1,0,0,0,40,>50K,0,1,0,0,0
68,49,10,1,1,1,0,0,50,>50K,0,0,0,0,1
70,19,10,0,1,1,0,0,32,<=50K,0,0,1,0,0
71,31,13,1,0,0,0,0,40,<=50K,0,0,0,1,0
72,29,13,1,1,1,0,0,70,>50K,0,0,0,1,0
73,23,10,0,1,1,0,0,40,<=50K,1,0,0,0,0
74,79,10,1,1,1,0,0,20,<=50K,0,0,1,0,0
75,27,9,0,1,1,0,0,40,<=50K,0,1,0,0,0
76,40,12,1,1,1,0,0,40,<=50K,0,1,0,0,0
78,18,7,0,1,0,0,0,22,<=50K,0,1,0,0,0
79,31,4,1,1,1,0,0,40,<=50K,1,0,0,0,0
80,18,9,0,1,1,0,0,30,<=50K,0,0,0,1,0
81,52,13,1,1,1,0,0,40,<=50K,0,1,0,0,0
82,46,9,1,1,0,0,0,40,<=50K,0,1,0,0,0
83,59,9,1,1,1,0,0,48,<=50K,0,0,0,1,0
84,44,9,1,1,0,14344,0,40,>50K,1,0,0,0,0
85,53,9,1,1,0,0,0,35,<=50K,0,0,0,1,0
86,49,9,1,1,1,0,0,40,>50K,0,1,0,0,0
87,33,14,1,1,1,0,0,50,<=50K,0,0,1,0,0
88,30,5,0,1,1,0,0,40,<=50K,0,0,0,1,0
89,43,16,0,1,0,0,0,50,>50K,0,0,1,0,0
90,57,11,1,1,1,0,0,40,<=50K,0,0,1,0,0
91,37,10,1,1,0,0,0,40,<=50K,1,0,0,0,0
92,28,10,1,0,0,0,0,25,<=50K,1,0,0,0,0
94,34,13,1,1,1,0,0,40,>50K,0,1,0,0,0
95,29,10,0,1,1,0,0,50,<=50K,1,0,0,0,0
96,48,16,1,1,1,0,1902,60,>50K,0,0,1,0,0
97,37,10,1,1,1,0,0,48,>50K,0,0,0,1,0
98,48,12,1,1,0,0,0,40,<=50K,0,0,0,0,1
99,32,9,0,0,1,0,0,40,<=50K,0,1,0,0,0
100,76,14,1,1,1,0,0,40,>50K,0,0,0,0,1
101,44,13,1,1,1,15024,0,60,>50K,0,0,0,0,1
102,47,14,0,1,0,0,0,50,<=50K,0,0,1,0,0
103,20,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
104,29,9,0,1,1,0,0,40,<=50K,1,0,0,0,0
105,32,9,1,1,1,7688,0,40,>50K,1,0,0,0,0
107,30,7,0,1,1,0,0,40,<=50K,1,0,0,0,0
108,31,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
109,42,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
110,24,13,0,1,1,0,0,40,<=50K,0,0,0,1,0
111,38,15,1,1,1,0,0,40,>50K,0,0,1,0,0
112,56,9,1,1,1,0,1887,50,>50K,0,1,0,0,0
113,28,10,1,1,0,4064,0,25,<=50K,0,0,0,1,0
114,36,9,0,1,0,0,0,40,<=50K,1,0,0,0,0
115,53,5,1,1,1,0,0,50,<=50K,1,0,0,0,0
116,56,10,1,1,1,0,0,50,<=50K,0,0,0,1,0
117,49,11,1,0,1,0,0,40,>50K,1,0,0,0,0
118,55,10,1,1,1,0,0,56,<=50K,0,0,0,1,0
119,22,9,0,1,1,0,0,41,<=50K,1,0,0,0,0
120,21,10,0,1,0,0,0,40,<=50K,0,1,0,0,0
121,40,13,1,1,1,0,0,60,<=50K,0,0,0,0,1
122,30,13,0,0,1,0,0,40,<=50K,0,0,0,0,1
123,29,13,1,1,1,0,0,50,>50K,0,0,1,0,0
124,19,10,0,0,1,0,0,35,<=50K,0,1,0,0,0
125,47,13,1,1,0,0,0,40,>50K,0,0,0,0,1
126,20,10,0,1,0,0,1719,28,<=50K,0,1,0,0,0
127,31,12,1,1,1,0,0,40,>50K,0,1,0,0,0
129,39,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
130,28,12,0,1,0,0,0,60,<=50K,0,0,0,1,0
131,24,9,0,1,0,0,1762,40,<=50K,0,1,0,0,0
132,38,9,1,1,1,4386,0,35,<=50K,1,0,0,0,0
133,37,13,1,1,1,0,0,50,<=50K,0,0,0,1,0
134,46,12,1,0,0,0,0,36,<=50K,0,1,0,0,0
135,38,14,1,1,1,0,0,40,>50K,0,0,1,0,0
136,43,9,1,1,1,0,0,60,<=50K,1,0,0,0,0
137,27,11,1,1,0,0,0,35,<=50K,0,1,0,0,0
138,20,10,0,1,1,0,0,20,<=50K,0,0,0,1,0
139,49,10,1,0,1,0,0,40,>50K,1,0,0,0,0
140,61,9,1,1,1,0,0,40,<=50K,1,0,0,0,0
141,27,10,0,1,0,0,0,40,<=50K,0,0,0,1,0
142,19,10,0,1,1,0,0,30,<=50K,0,1,0,0,0
143,45,11,0,1,0,0,1564,40,>50K,0,0,1,0,0
144,70,10,0,1,1,0,0,40,<=50K,0,1,0,0,0
145,31,9,0,0,0,0,0,30,<=50K,1,0,0,0,0
146,22,10,1,1,1,0,0,24,<=50K,0,1,0,0,0
147,36,9,1,1,0,0,0,24,<=50K,0,1,0,0,0
148,64,7,1,1,1,0,2179,40,<=50K,1,0,0,0,0
150,47,10,1,1,0,0,0,38,<=50K,0,1,0,0,0
151,34,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
152,33,13,0,0,0,0,0,40,<=50K,0,0,0,0,1
153,21,9,0,1,1,0,0,35,<=50K,1,0,0,0,0
155,48,9,1,1,1,0,0,46,<=50K,1,0,0,0,0
156,23,13,0,1,1,0,0,40,<=50K,1,0,0,0,0
157,71,10,1,0,1,0,1816,2,<=50K,0,0,0,1,0
158,29,9,1,1,1,0,0,60,<=50K,1,0,0,0,0
159,42,13,1,0,1,0,0,50,<=50K,0,1,0,0,0
161,25,9,0,1,0,0,0,40,<=50K,0,1,0,0,0
162,44,14,1,0,0,0,0,40,<=50K,0,0,0,0,1
163,28,9,0,0,0,0,0,40,<=50K,0,0,0,0,1
164,45,14,1,1,1,0,0,40,>50K,0,0,0,1,0
165,36,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
166,39,12,0,1,1,0,0,42,<=50K,0,0,0,0,1
167,46,14,1,1,1,0,0,40,<=50K,0,1,0,0,0
168,18,7,0,1,1,0,0,16,<=50K,1,0,0,0,0
169,66,11,1,1,0,0,0,20,<=50K,0,0,1,0,0
170,27,9,0,1,1,0,1980,40,<=50K,0,1,0,0,0
171,28,9,1,1,1,0,0,40,<=50K,0,1,0,0,0
172,51,10,1,1,1,0,1977,40,>50K,0,0,0,1,0
173,27,13,0,1,1,0,0,50,<=50K,1,0,0,0,0
174,28,13,1,1,1,0,0,40,>50K,0,0,1,0,0
175,27,9,1,1,0,0,0,25,<=50K,0,0,0,1,0
176,21,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
177,34,9,0,0,1,0,0,40,<=50K,1,0,0,0,0
178,18,9,0,1,1,0,0,12,<=50K,0,1,0,0,0
179,33,13,1,1,1,0,0,65,<=50K,0,0,1,0,0
180,44,10,1,0,1,0,0,38,>50K,0,0,0,0,1
181,43,10,1,1,0,0,0,40,<=50K,0,1,0,0,0
182,30,10,0,0,1,0,0,45,<=50K,1,0,0,0,0
183,40,4,1,1,1,0,0,40,>50K,1,0,0,0,0
184,37,10,1,1,1,0,0,42,>50K,0,1,0,0,0
185,34,9,1,0,1,0,0,40,<=50K,0,1,0,0,0
186,41,13,1,1,0,0,0,40,<=50K,0,0,0,0,1
188,31,14,1,1,0,0,0,50,<=50K,0,0,1,0,0
189,58,16,1,1,1,0,0,1,>50K,0,0,1,0,0
190,38,10,1,0,0,0,0,28,<=50K,1,0,0,0,0
191,24,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
192,41,13,1,0,1,0,0,40,<=50K,1,0,0,0,0
193,47,10,1,1,1,0,0,45,<=50K,0,1,0,0,0
194,41,13,1,1,1,0,0,24,<=50K,0,1,0,0,0
195,23,3,1,1,1,0,0,40,<=50K,1,0,0,0,0
196,36,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
197,40,14,0,1,0,14084,0,55,>50K,0,0,0,0,1
198,35,14,1,1,1,7298,0,40,>50K,0,0,1,0,0
199,24,9,0,1,1,0,0,40,<=50K,0,0,0,1,0
200,26,14,0,1,0,0,1876,40,<=50K,0,0,1,0,0
202,51,13,1,1,1,0,0,50,>50K,0,0,0,0,1
203,42,10,0,1,0,0,1340,40,<=50K,0,0,1,0,0
204,37,9,1,1,0,0,0,35,<=50K,0,1,0,0,0
205,18,7,0,1,0,0,0,40,<=50K,0,0,0,1,0
206,36,13,1,0,1,7298,0,36,>50K,0,1,0,0,0
207,35,9,1,1,1,0,0,60,<=50K,1,0,0,0,0
208,58,9,1,1,0,15024,0,35,>50K,0,0,0,1,0
209,17,7,0,1,0,0,0,12,<=50K,0,0,0,1,0
210,44,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
211,37,9,1,1,1,0,0,40,>50K,1,0,0,0,0
212,35,10,0,0,0,0,0,40,<=50K,0,0,0,1,0
213,60,9,1,0,1,0,0,40,<=50K,1,0,0,0,0
214,54,4,1,1,1,0,0,40,>50K,1,0,0,0,0
215,37,13,0,0,1,0,0,60,>50K,0,0,0,0,1
216,50,12,1,1,0,0,0,40,<=50K,0,0,0,1,0
217,38,13,1,1,1,0,0,50,<=50K,0,0,0,1,0
218,45,13,1,1,1,0,0,55,<=50K,0,0,1,0,0
219,25,6,0,1,1,0,0,40,<=50K,1,0,0,0,0
220,31,10,1,1,1,0,0,40,<=50K,1,0,0,0,0
222,90,9,0,0,1,0,2206,40,<=50K,0,1,0,0,0
