,checking_account,duration,credit_history,credit_amount,saving_account,employment,installment_rete,sex,residence,property,age,credit,job,people,telephone,foreign_work,label,purpose_car,purpose_others,purpose_radio/TV,debtors_co-applicant,debtors_guarantors,debtors_none,installment_plans_bank,installment_plans_none,installment_plans_stores,housing_for free,housing_own,housing_rent
0,1,6,4,1169,0,4,4,0,4,0,67,2,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1,2,48,2,5951,1,2,2,1,2,0,22,1,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2,0,12,4,2096,1,3,2,0,3,0,49,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
3,1,42,2,7882,1,3,2,0,4,1,45,1,2,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
4,1,24,3,4870,1,2,3,0,4,4,53,2,2,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
5,0,36,2,9055,0,2,2,0,4,4,35,1,1,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
6,0,24,2,2835,3,4,3,0,4,1,53,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
7,2,36,2,6948,1,2,2,0,2,2,35,1,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
8,0,12,2,3059,4,3,2,0,4,0,61,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
9,2,30,4,5234,1,0,4,0,2,2,28,2,3,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
10,2,12,2,1295,1,1,3,1,1,2,25,1,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
11,1,48,2,4308,1,1,3,1,4,1,24,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
12,2,12,2,1567,1,2,1,1,1,2,22,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
13,1,24,4,1199,1,4,4,0,4,2,60,2,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
14,1,15,2,1403,1,2,2,1,4,2,28,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
15,1,24,2,1282,2,2,4,1,2,2,32,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
16,0,24,4,2424,0,4,4,0,4,1,53,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
17,1,30,0,8072,0,1,2,0,3,2,25,3,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
18,2,24,2,12579,1,4,4,1,2,4,44,1,3,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
19,0,24,2,3430,3,4,3,0,2,2,31,1,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
20,0,9,4,2134,1,2,4,0,4,2,48,3,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
