,checking_account,duration,credit_history,credit_amount,installment_rete,sex,property,age,label,housing_own
0,1,6,4,1169,4,0,0,67,0,1
1,2,48,2,5951,2,1,0,22,1,1
2,0,12,4,2096,2,0,0,49,0,1
3,1,42,2,7882,2,0,1,45,0,0
4,1,24,3,4870,3,0,4,53,1,0
5,0,36,2,9055,2,0,4,35,0,0
6,0,24,2,2835,3,0,1,53,0,1
7,2,36,2,6948,2,0,2,35,0,0
8,0,12,2,3059,2,0,0,61,0,1
9,2,30,4,5234,4,0,2,28,1,1
10,2,12,2,1295,3,1,2,25,1,0
11,1,48,2,4308,3,1,1,24,1,0
12,2,12,2,1567,1,1,2,22,0,1
13,1,24,4,1199,4,0,2,60,1,1
14,1,15,2,1403,2,1,2,28,0,0
15,1,24,2,1282,4,1,2,32,1,1
16,0,24,4,2424,4,0,1,53,0,1
17,1,30,0,8072,2,0,2,25,0,1
18,2,24,2,12579,4,1,4,44,1,0
19,0,24,2,3430,3,0,2,31,0,1
20,0,9,4,2134,4,0,2,48,0,1
21,1,6,2,2647,2,0,0,44,0,0
22,1,10,4,2241,1,0,0,48,0,0
23,2,12,4,1804,3,0,1,44,0,1
24,0,10,4,2069,2,0,2,26,0,1
25,1,6,2,1374,1,0,0,36,0,1
26,0,6,0,426,4,0,2,39,0,1
27,3,12,1,409,3,1,0,42,0,0
28,2,7,2,2415,3,0,0,34,0,1
29,1,60,3,6836,3,0,4,63,1,1
30,2,18,2,1913,3,0,0,36,0,1
31,1,24,2,4020,2,0,2,27,0,1
32,2,18,2,5866,2,0,2,30,0,1
33,0,12,4,1264,4,0,4,57,0,0
34,3,12,2,1474,4,1,1,33,0,1
35,2,45,4,4746,4,0,1,25,1,1
36,0,48,4,6110,1,0,4,31,0,0
37,3,18,2,2100,4,0,0,37,1,1
38,3,10,2,1225,2,0,2,37,0,1
39,2,9,2,458,4,0,0,24,0,1
40,0,30,2,2333,4,0,2,30,0,1
41,2,12,2,1158,3,0,2,26,0,1
42,2,18,3,6204,2,0,0,44,0,1
43,1,30,4,6187,1,0,2,24,0,0
44,1,48,4,6143,4,1,4,58,1,0
45,0,11,4,1393,4,1,2,35,0,1
46,0,36,2,2299,4,0,2,39,0,1
47,1,6,2,1352,1,1,1,23,0,0
48,0,11,4,7228,1,0,1,39,0,1
49,0,12,2,2073,4,1,0,28,0,1
50,2,24,3,2333,4,0,1,29,0,1
51,2,27,3,5965,1,0,2,30,0,1
52,0,12,2,1262,3,0,2,25,0,1
53,0,18,2,3378,2,0,1,31,0,1
54,2,36,3,2225,4,0,4,57,1,0
55,0,6,1,783,1,0,0,26,0,1
56,2,12,2,6468,2,0,4,52,1,1
57,0,36,4,9566,2,1,2,31,0,1
58,3,18,2,1961,3,1,2,23,0,1
59,1,36,4,6229,4,1,4,23,1,0
60,2,9,2,1391,2,0,0,27,0,1
61,2,15,4,1537,4,0,0,50,0,1
62,2,36,0,1953,4,0,4,61,1,0
63,2,48,0,14421,2,0,2,25,1,1
64,0,24,2,3181,4,1,1,26,0,1
65,0,27,2,5190,4,0,1,48,0,1
66,0,12,2,2171,2,1,2,29,0,1
67,2,12,2,1007,4,0,0,22,0,1
68,0,36,2,1819,4,0,4,37,1,0
69,0,36,2,2394,4,1,2,25,0,1
70,0,36,2,8133,1,1,1,30,0,1
71,0,7,4,730,4,0,1,46,0,0
72,1,8,4,1164,3,0,4,51,0,0
73,2,42,4,5954,2,1,0,41,0,1
74,1,36,2,1977,4,0,4,40,1,1
75,1,12,4,1526,4,0,4,66,0,0
76,1,42,2,3965,4,0,2,34,1,1
77,2,11,3,4771,2,0,1,51,0,1
78,0,54,0,9436,2,0,1,39,0,1
79,2,30,2,3832,2,0,1,22,0,1
80,0,24,2,5943,1,1,2,44,1,1
81,0,15,2,1213,4,0,1,47,0,1
82,0,18,2,1568,3,1,1,24,0,0
83,1,24,2,1755,4,1,0,58,0,1
84,1,10,2,2315,3,0,0,52,0,1
85,0,12,4,1412,4,1,0,29,0,1
86,2,18,4,1295,4,1,1,27,0,1
87,2,36,2,12612,1,0,4,47,1,0
88,1,18,2,2249,4,0,2,30,0,1
89,1,12,0,1108,4,0,0,28,1,1
90,0,12,4,618,4,0,0,56,0,1
91,1,12,4,1409,4,0,0,54,0,1
92,0,12,4,797,4,1,1,33,1,1
93,3,24,4,3617,4,0,4,20,0,0
94,2,12,2,1318,4,0,0,54,0,1
95,2,54,0,15945,3,0,4,58,1,0
96,0,12,4,2012,4,1,2,61,0,1
97,2,18,2,2622,4,0,2,34,0,1
98,2,36,4,2337,4,0,0,36,0,1
99,2,20,3,7057,3,0,1,36,0,0
100,0,24,2,1469,4,0,0,41,0,0
101,2,36,2,2323,4,0,2,24,0,0
102,0,6,3,932,3,1,0,24,0,1
103,2,9,4,1919,4,0,2,35,0,0
104,0,12,2,2445,2,0,2,26,0,0
105,2,24,4,11938,2,0,2,39,1,1
106,0,18,1,6458,2,0,4,39,1,1
107,2,12,2,6078,2,0,2,32,0,1
108,1,24,2,7721,1,1,1,30,0,1
109,2,14,2,1410,1,0,0,35,0,1
110,2,6,3,1449,1,0,2,31,0,1
111,3,15,2,392,4,1,1,23,0,0
112,2,18,2,6260,3,0,0,28,0,0
113,0,36,4,7855,4,1,0,25,1,1
114,1,12,2,1680,3,0,0,35,0,1
115,0,48,4,3578,4,0,0,47,0,1
116,1,42,2,7174,4,1,2,30,1,1
117,1,10,4,2132,2,1,0,27,0,0
118,1,33,4,4281,1,1,2,23,1,1
119,2,12,4,2366,3,0,2,36,0,1
120,1,21,2,1835,3,1,0,25,1,1
121,0,24,4,3868,4,1,2,41,0,0
122,0,12,2,1768,3,0,0,24,0,0
123,3,10,4,781,4,0,4,63,0,0
124,2,18,2,1924,4,1,0,27,1,0
125,1,12,4,2121,4,0,1,30,0,1
126,1,12,2,701,4,0,0,40,0,1
127,2,12,2,639,4,0,2,30,1,1
128,2,12,4,1860,4,0,2,34,0,1
129,1,12,4,3499,3,1,0,29,1,1
130,2,48,2,8487,1,1,2,24,0,1
131,1,36,3,6887,4,0,1,29,1,1
132,0,15,2,2708,2,0,1,27,0,1
133,0,18,2,1984,4,0,4,47,0,0
134,0,60,2,10144,2,1,0,21,0,1
135,0,12,4,1240,4,1,0,38,0,1
136,0,27,3,8613,2,0,2,27,0,1
137,2,12,2,766,4,0,0,66,1,1
138,2,15,4,2728,4,0,0,35,0,1
139,3,12,2,1881,2,1,2,44,0,0
140,3,6,2,709,2,0,0,27,0,1
141,2,36,2,4795,4,1,4,30,0,1
142,1,27,2,3416,3,0,2,27,0,1
143,1,18,2,2462,2,0,2,22,1,1
144,0,21,4,2288,4,1,1,23,0,1
145,2,48,1,3566,4,0,2,30,0,1
146,1,6,4,860,1,1,4,39,0,1
147,0,12,4,682,4,1,2,51,0,1
148,1,36,4,5371,3,0,1,28,0,1
149,0,18,4,1582,4,0,2,46,0,1
150,0,6,2,1346,2,0,4,42,0,0
151,0,10,2,1924,1,0,1,38,0,1
152,3,36,2,5848,4,0,2,24,0,1
153,2,24,4,7758,2,1,4,29,0,0
154,2,24,3,6967,4,0,2,36,0,0
155,1,12,2,1282,2,1,2,20,1,0
156,1,9,4,1288,3,0,0,48,0,1
157,1,12,1,339,4,0,2,45,0,1
158,2,24,2,3512,2,0,2,38,0,1
159,0,6,4,1898,1,0,0,34,0,1
160,0,24,4,2872,3,0,0,36,0,1
161,0,18,4,1055,4,1,1,30,0,1
162,0,15,2,1262,4,0,1,36,0,1
163,2,10,2,7308,2,0,4,70,0,0
164,0,36,2,909,4,0,1,36,0,1
165,0,6,2,2978,1,0,2,32,0,1
166,1,18,2,1131,4,1,2,33,1,1
