,label,X0_1,X0_2,X0_3,X1_1,X1_2,X1_3,X2_1,X2_2,X3_1,X3_2,X3_3,X4_1,X4_2,X4_3,X4_4,X5_1,X5_2
0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
4,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
5,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
6,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
7,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
8,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
9,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
10,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
11,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
12,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
13,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
14,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
15,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
16,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
17,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
18,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
19,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
20,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
21,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
22,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
23,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
24,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
25,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
26,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
27,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
28,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
29,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
30,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
31,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
32,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
33,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
34,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
35,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
36,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
37,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
38,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
39,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
40,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
41,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
42,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
43,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
44,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
45,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
46,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
47,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
48,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
49,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
50,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
51,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
52,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
53,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
54,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
55,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
56,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
57,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
58,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
59,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
60,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
61,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
62,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
63,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
64,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
65,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
66,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
67,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
68,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
69,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
70,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
71,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
72,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
73,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
74,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
75,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
76,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
77,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
78,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
79,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
80,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
81,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
82,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
83,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
84,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
85,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
86,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
87,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0
88,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1
89,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
90,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
91,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
92,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
93,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
94,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
95,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
96,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
97,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
98,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
99,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
100,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1
101,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
102,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
103,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1
104,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
105,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
106,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
107,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
108,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
109,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
110,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
111,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1
112,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
113,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
114,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
115,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
116,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
117,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
118,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
119,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
120,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
121,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
122,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
123,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
3,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
5,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
6,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
7,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
8,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
9,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
10,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
11,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
12,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
13,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
14,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
